col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,target
0,0,4,0,1,0,0,0,1
0,0,3,0,2,0,0,0,1
0,0,3,0,2,0,0,0,1
0,0,3,0,2,0,0,0,100
0,0,3,0,2,0,0,0,1
0,0,4,0,1,0,0,0,1
0,0,3,0,0,2,0,0,1
0,0,3,0,0,2,0,0,1
0,0,4,0,1,0,0,0,1
0,0,3,0,0,2,0,0,1000
0,0,4,0,1,0,0,0,1
0,0,3,0,0,2,0,0,100
0,0,3,0,0,2,0,0,100
0,0,3,0,0,2,0,0,1000
0,0,3,0,0,2,0,0,1000
0,0,4,0,1,0,0,0,1
0,0,2,0,1,2,0,0,1
0,0,2,0,2,1,0,0,100
0,0,3,0,2,0,0,0,1
0,0,4,0,1,0,0,0,1
0,0,3,0,1,0,0,1,1
0,0,2,1,1,0,0,1,100
0,0,2,0,1,1,0,1,1
0,0,1,0,1,2,0,1,10000
0,0,1,0,2,1,0,1,10000
0,0,4,0,1,0,0,0,1
0,0,3,0,1,0,0,1,100
0,0,3,0,0,2,0,0,100
0,0,3,0,0,2,0,0,100
0,0,3,0,0,2,0,0,100
0,0,4,0,1,0,0,0,1
0,0,3,0,0,2,0,0,100
0,0,3,0,0,2,0,0,100
0,0,3,0,1,0,0,1,1000
0,0,3,0,0,2,0,0,1
0,0,3,0,0,2,0,0,100
0,0,4,0,1,0,0,0,1
0,0,3,0,0,2,0,0,1
0,0,3,0,0,2,0,0,100
0,0,3,0,0,2,0,0,100
0,0,3,0,1,0,0,1,1
0,0,3,0,1,0,0,1,1
0,0,3,0,1,0,0,1,1
0,0,2,0,2,0,0,1,1
0,0,4,0,1,0,0,0,1
0,0,3,0,0,2,0,0,1000
0,0,2,0,2,0,0,1,1000
0,0,2,0,1,1,0,1,10000
0,0,2,0,1,1,0,1,10000
0,0,4,0,1,0,0,0,1
0,0,2,0,1,2,0,0,1000
0,0,3,0,0,2,0,0,100
0,0,2,0,1,1,0,1,1
0,0,1,0,1,2,0,1,100
0,0,1,0,1,2,0,1,1000
0,0,1,0,1,2,0,1,1000
0,0,3,0,1,0,0,1,10000
0,0,3,0,1,0,0,1,100
0,0,2,0,2,0,0,1,1
0,0,3,0,2,0,0,0,1
0,0,4,0,1,0,0,0,1
0,0,2,0,1,1,0,1,1
0,0,3,0,1,0,0,1,100
0,0,3,0,1,0,0,1,1
0,0,4,0,1,0,0,0,1
0,0,2,0,1,1,0,1,1
0,0,3,0,1,0,0,1,1
0,0,3,0,0,2,0,0,1
0,0,3,0,0,2,0,0,1
0,0,3,0,0,2,0,0,1
0,0,3,0,0,2,0,0,1
0,0,3,0,0,2,0,0,1
0,0,4,0,1,0,0,0,1
0,0,2,1,0,2,0,0,100
0,0,3,0,0,2,0,0,1
0,0,3,0,1,0,0,1,1
0,0,3,0,1,0,0,1,1
0,0,2,0,2,0,0,1,1
0,0,1,0,3,0,0,1,1000
0,0,3,0,0,2,0,0,1
0,0,3,0,1,0,0,1,1
0,0,2,0,2,0,0,1,100
0,0,4,0,1,0,0,0,1
0,0,4,0,1,0,0,0,1
0,0,3,0,2,0,0,0,1
0,0,2,0,2,0,0,1,1
0,0,3,0,1,0,0,1,1
0,0,1,0,2,1,0,1,10000
0,0,2,0,1,1,0,1,10000
0,0,1,0,2,1,0,1,100000
0,0,2,0,1,1,0,1,100000
0,0,2,0,2,0,0,1,1000
0,0,2,0,1,1,0,1,10000
0,0,2,0,1,1,0,1,10000
0,0,3,0,1,0,0,1,100
0,0,2,0,2,0,0,1,100
0,0,3,0,1,0,0,1,1
0,0,3,0,0,2,0,0,100
0,0,4,0,1,0,0,0,1
0,0,3,0,0,2,0,0,1
0,0,2,0,2,0,0,1,100
0,0,3,0,1,0,0,1,1
0,0,4,0,1,0,0,0,1
0,0,4,0,1,0,0,0,1
0,0,3,0,1,0,0,1,100
0,0,3,0,1,0,0,1,1000
0,0,3,0,2,0,0,0,1
0,0,2,0,3,0,0,0,100
0,0,2,0,3,0,0,0,100
0,0,3,0,1,0,0,1,1
0,0,2,0,1,1,0,1,100
0,0,2,0,2,0,0,1,1
0,0,2,0,1,2,0,0,1
0,0,1,0,1,3,0,0,1
0,0,2,0,2,0,0,1,1
0,0,1,0,1,2,0,1,100
0,0,1,0,1,2,0,1,1000
0,0,1,0,1,2,0,1,1000
0,0,1,1,1,1,0,1,1000
0,0,2,0,1,1,0,1,1
0,0,2,0,1,1,0,1,1
0,0,2,0,1,2,0,0,1
0,0,2,0,1,2,0,0,1
0,0,2,0,1,2,0,0,1
0,0,3,0,0,2,0,0,1
0,0,3,0,0,2,0,0,1
0,0,3,0,0,2,0,0,1
0,0,1,1,2,0,0,1,10000
0,0,2,0,2,0,0,1,1
0,0,0,1,3,0,0,1,1000
0,0,1,0,3,0,0,1,100
0,0,3,0,1,0,0,1,100
0,0,4,0,1,0,0,0,1
0,0,3,1,1,0,0,0,100
0,0,3,0,2,0,0,0,1
0,0,3,0,2,0,0,0,100
0,0,4,0,1,0,0,0,1
0,0,1,0,2,1,0,1,10000
0,0,4,0,1,0,0,0,1
0,0,3,0,1,0,0,1,1
0,0,2,0,2,0,0,1,1
0,0,2,1,1,0,0,1,1
0,0,0,1,3,0,0,1,1000
0,0,1,0,3,0,0,1,100
0,0,3,0,2,0,0,0,100
0,0,3,0,2,0,0,0,1
0,0,4,0,1,0,0,0,1
0,0,1,0,2,1,0,1,1
0,0,1,0,1,2,0,1,10000
0,0,1,0,1,2,0,1,100000
0,0,2,0,1,1,0,1,100000
0,0,3,0,1,0,0,1,10000
0,0,2,1,0,2,0,0,1
0,0,1,1,1,2,0,0,1000
0,0,2,0,1,2,0,0,1
0,0,2,0,2,0,0,1,1
0,0,1,0,2,1,0,1,1
0,0,3,0,1,0,0,1,1
0,0,2,0,1,1,0,1,100000
0,0,1,0,1,3,0,0,1
0,0,2,0,1,2,0,0,1
0,0,2,0,2,0,0,1,1
0,0,4,0,1,0,0,0,1
0,0,3,0,2,0,0,0,1
0,0,0,0,2,2,0,1,1
0,0,1,0,1,2,0,1,100
0,0,2,0,2,0,0,1,1
0,0,2,0,2,0,0,1,1
0,0,2,0,1,2,0,0,1
0,0,3,0,1,0,0,1,1000
0,0,3,0,0,2,0,0,10000
0,0,3,0,1,0,0,1,1
0,0,3,0,0,2,0,0,100
0,0,4,0,1,0,0,0,1
0,0,3,0,0,2,0,0,1
0,0,2,0,1,2,0,0,1
0,0,2,0,1,2,0,0,1
0,0,2,0,2,0,0,1,1
0,0,2,0,1,1,0,1,1
0,0,2,0,1,1,0,1,1
0,0,1,0,3,0,0,1,1000
0,0,1,0,2,1,0,1,100000
0,0,3,0,1,0,0,1,100
0,0,2,0,2,0,0,1,1
0,0,2,0,2,0,0,1,1000
0,0,1,0,3,0,0,1,1000
0,0,4,0,1,0,0,0,1
0,0,3,0,1,1,0,0,100
0,0,3,0,1,0,0,1,1000
0,0,3,0,2,0,0,0,100
0,0,4,0,1,0,0,0,1
0,0,3,0,2,0,0,0,1
0,0,4,0,1,0,0,0,1
0,0,3,0,1,0,0,1,1
0,0,4,0,1,0,0,0,1
0,0,3,0,2,0,0,0,1
0,0,1,0,2,1,0,1,1000
0,0,1,0,3,0,0,1,100000
0,0,2,0,2,0,0,1,100000
0,0,2,0,2,0,0,1,100
0,0,3,0,1,0,0,1,100
0,0,3,0,1,0,0,1,10000
0,0,3,0,1,0,0,1,10000
0,0,3,0,1,0,0,1,1
0,0,2,0,2,0,0,1,10000
0,0,4,0,1,0,0,0,1
0,0,3,0,2,0,0,0,1000
0,0,3,0,2,0,0,0,1000
0,0,3,0,1,0,0,1,1
0,0,4,0,1,0,0,0,1
0,0,3,0,2,0,0,0,1000
0,0,3,0,2,0,0,0,1000
0,0,4,0,1,0,0,0,1
0,0,3,0,1,0,0,1,1
0,0,2,0,2,0,0,1,1
0,0,2,0,2,0,0,1,100
0,0,4,0,1,0,0,0,1
0,0,2,0,2,0,0,1,1
0,0,3,0,1,0,0,1,1
0,0,4,0,1,0,0,0,1
0,0,3,0,2,0,0,0,1
0,0,3,0,1,0,0,1,1
0,0,2,0,2,0,0,1,1
0,0,3,0,1,0,0,1,100
0,0,4,0,1,0,0,0,1
0,0,2,0,2,0,0,1,1
0,0,3,0,2,0,0,0,1
0,0,1,0,3,0,0,1,1000
0,0,1,0,3,0,0,1,1000
0,0,2,0,2,0,0,1,100
0,0,0,1,3,0,0,1,10000
0,0,1,1,2,0,0,1,100000
0,0,1,0,1,2,0,1,1000
0,0,1,0,3,0,0,1,100
0,0,1,0,3,0,0,1,100
0,0,2,0,2,0,0,1,1
0,0,3,0,2,0,0,0,1
0,0,0,0,4,0,0,1,10000
0,0,2,0,2,0,0,1,100
0,0,3,0,2,0,0,0,1
0,0,4,0,1,0,0,0,1
0,0,2,1,1,0,0,1,100000
0,0,3,0,1,0,0,1,10000
0,0,0,1,2,1,0,1,100000
0,0,0,0,3,1,0,1,1
0,0,0,0,3,1,0,1,1
0,0,1,0,2,1,0,1,1
0,0,1,0,2,1,0,1,1
0,0,2,0,1,1,0,1,1000
0,0,1,0,3,0,0,1,100
0,0,2,0,2,0,0,1,1
0,0,1,0,3,0,0,1,100
0,0,1,0,3,0,0,1,100
0,0,0,0,4,0,0,1,10000
0,0,1,0,3,0,0,1,1000
0,0,2,0,2,0,0,1,1
0,0,2,0,2,0,0,1,1
0,0,3,0,1,0,0,1,1000
0,0,3,0,1,0,0,1,1000
0,0,3,0,2,0,0,0,1
0,0,0,0,4,0,0,1,1
0,0,1,0,3,0,0,1,1
0,0,2,0,2,0,0,1,1
0,0,1,0,3,0,0,1,1
0,0,2,0,2,0,0,1,1
0,0,4,0,1,0,0,0,1
0,0,1,0,3,0,0,1,100
0,0,0,0,4,0,0,1,100
0,0,2,0,2,0,0,1,1
0,0,4,0,1,0,0,0,1
0,0,4,0,1,0,0,0,1
0,0,3,0,0,2,0,0,1000
0,0,3,0,1,0,0,1,1000
0,0,3,0,1,0,0,1,1
0,0,2,0,1,1,0,1,1000
0,0,2,0,0,3,0,0,10000
0,0,3,0,0,2,0,0,1
0,0,3,0,1,0,0,1,1
0,0,2,0,2,0,0,1,100
0,0,4,0,1,0,0,0,1
0,0,3,0,0,2,0,0,100
0,0,3,0,0,2,0,0,100
0,0,3,0,0,2,0,0,100
0,0,3,0,0,2,0,0,100
0,0,4,0,1,0,0,0,1
0,0,3,0,0,2,0,0,100
0,0,3,0,0,2,0,0,100
0,0,3,0,0,2,0,0,1000
0,0,4,0,1,0,0,0,1
0,0,3,0,1,0,0,1,1
0,0,2,0,2,0,0,1,1
0,0,4,0,1,0,0,0,1
0,0,3,0,0,2,0,0,1
0,0,2,0,1,1,0,1,100
0,0,1,0,1,2,0,1,10000
0,0,1,0,3,0,0,1,100000
0,0,0,1,3,0,0,1,100000
0,0,0,1,3,0,0,1,100000
0,0,0,1,3,0,0,1,100000
0,0,2,0,2,0,0,1,100000
0,0,2,0,2,0,0,1,100000
0,0,1,0,3,0,0,1,100000
0,0,1,0,3,0,0,1,10000
0,0,1,0,3,0,0,1,100
0,0,2,0,1,1,0,1,100000
0,0,2,0,1,1,0,1,100000
0,0,3,0,1,0,0,1,100
0,0,3,0,0,2,0,0,1000
0,0,3,0,1,0,0,1,1
0,0,3,0,0,2,0,0,1
0,0,3,0,0,2,0,0,1
0,0,3,0,0,2,0,0,1
0,0,3,0,0,2,0,0,1
0,0,3,0,0,2,0,0,1
0,0,4,0,1,0,0,0,1
0,0,3,0,1,0,0,1,1
0,0,2,0,1,2,0,0,1
0,0,4,0,1,0,0,0,1
0,0,3,0,1,0,0,1,100
0,0,2,0,2,0,0,1,1
0,0,4,0,1,0,0,0,1
0,0,3,1,1,0,0,0,100
0,0,3,1,1,0,0,0,100
0,0,3,1,1,0,0,0,100
0,0,3,0,1,0,0,1,100
0,0,2,1,1,0,0,1,1000
0,0,3,0,1,0,0,1,100
